State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Percent, All Ages",Median Household Income
17,029,IL,Coles County,17.4,"47,693"
31,037,NE,Colfax County,8.3,"69,498"
35,007,NM,Colfax County,18.8,"42,787"
45,029,SC,Colleton County,20.9,"46,629"
12,021,FL,Collier County,10.4,"75,799"
48,085,TX,Collin County,6.6,"102,119"
48,087,TX,Collingsworth County,16.9,"45,734"
51,570,VA,Colonial Heights city,9.4,"59,455"
08,000,CO,Colorado,9.7,"82,228"
48,089,TX,Colorado County,12.4,"62,004"
13,071,GA,Colquitt County,22.4,"44,485"
05,027,AR,Columbia County,23.2,"44,651"
12,023,FL,Columbia County,16.5,"52,035"
13,073,GA,Columbia County,7.3,"87,281"
36,021,NY,Columbia County,10.5,"69,403"
41,009,OR,Columbia County,10.2,"78,267"
42,037,PA,Columbia County,16.2,"56,300"
53,013,WA,Columbia County,13.2,"59,650"
55,021,WI,Columbia County,7.7,"74,842"
39,029,OH,Columbiana County,16.7,"51,019"
37,047,NC,Columbus County,23.4,"41,206"
06,011,CA,Colusa County,11.4,"60,725"
48,091,TX,Comal County,5.3,"93,487"
20,033,KS,Comanche County,10.0,"51,548"
40,031,OK,Comanche County,19.2,"50,090"
48,093,TX,Comanche County,16.1,"49,076"
48,095,TX,Concho County,14.9,"48,563"
22,029,LA,Concordia Parish,33.7,"36,821"
01,035,AL,Conecuh County,22.4,"35,621"
08,021,CO,Conejos County,16.7,"45,931"
09,000,CT,Connecticut,10.1,"83,628"
06,013,CA,Contra Costa County,8.8,"110,595"
56,009,WY,Converse County,9.7,"74,174"
05,029,AR,Conway County,16.9,"47,741"
13,075,GA,Cook County,20.1,"44,995"
17,031,IL,Cook County,13.8,"72,063"
27,031,MN,Cook County,9.7,"62,528"
48,097,TX,Cooke County,13.0,"58,060"
29,053,MO,Cooper County,12.5,"56,824"
33,007,NH,Coos County,12.5,"53,602"
41,011,OR,Coos County,17.4,"54,067"
01,037,AL,Coosa County,17.1,"45,954"
28,029,MS,Copiah County,20.9,"43,471"
02,066,AK,Copper River Census Area,14.3,"61,288"
46,031,SD,Corson County,41.9,"34,372"
36,023,NY,Cortland County,11.0,"62,292"
48,099,TX,Coryell County,13.6,"59,718"
39,031,OH,Coshocton County,13.9,"50,135"
08,023,CO,Costilla County,23.1,"35,416"
48,101,TX,Cottle County,18.8,"44,590"
40,033,OK,Cotton County,17.6,"48,703"
27,033,MN,Cottonwood County,12.0,"58,801"
51,580,VA,Covington city,17.4,"43,075"
01,039,AL,Covington County,19.8,"44,188"
28,031,MS,Covington County,19.9,"43,796"
13,077,GA,Coweta County,8.1,"85,182"
20,035,KS,Cowley County,13.9,"51,699"
53,015,WA,Cowlitz County,12.6,"70,104"
40,035,OK,Craig County,17.5,"48,825"
51,045,VA,Craig County,11.5,"57,299"
05,031,AR,Craighead County,18.2,"52,490"
48,103,TX,Crane County,11.3,"63,555"
37,049,NC,Craven County,12.6,"57,628"
05,033,AR,Crawford County,14.7,"54,065"
13,079,GA,Crawford County,16.3,"54,442"
17,033,IL,Crawford County,13.6,"59,128"
18,025,IN,Crawford County,15.4,"52,031"
19,047,IA,Crawford County,11.4,"58,874"
20,037,KS,Crawford County,21.3,"47,718"
26,039,MI,Crawford County,15.8,"50,367"
29,055,MO,Crawford County,15.8,"49,511"
39,033,OH,Crawford County,13.5,"50,656"
42,039,PA,Crawford County,15.0,"55,141"
55,023,WI,Crawford County,11.9,"57,130"
40,037,OK,Creek County,14.3,"53,287"
01,041,AL,Crenshaw County,17.5,"38,037"
13,081,GA,Crisp County,24.2,"41,505"
05,035,AR,Crittenden County,23.0,"43,821"
21,055,KY,Crittenden County,18.9,"46,263"
47,033,TN,Crockett County,15.6,"50,792"
48,105,TX,Crockett County,14.6,"53,159"
41,013,OR,Crook County,12.0,"65,755"
56,011,WY,Crook County,7.5,"63,270"
48,107,TX,Crosby County,23.2,"42,728"
05,037,AR,Cross County,16.7,"45,262"
27,035,MN,Crow Wing County,10.7,"64,008"
08,025,CO,Crowley County,37.8,"38,049"
48,109,TX,Culberson County,19.6,"48,217"
01,043,AL,Cullman County,13.5,"55,036"
51,047,VA,Culpeper County,8.9,"82,220"
17,035,IL,Cumberland County,10.4,"69,740"
21,057,KY,Cumberland County,22.5,"39,511"
23,005,ME,Cumberland County,7.7,"80,484"
34,011,NJ,Cumberland County,14.4,"58,030"
37,051,NC,Cumberland County,15.8,"52,463"
42,041,PA,Cumberland County,8.0,"81,975"
47,035,TN,Cumberland County,14.9,"52,000"
51,049,VA,Cumberland County,14.8,"52,200"
31,039,NE,Cuming County,8.5,"66,165"
37,053,NC,Currituck County,8.6,"82,759"
35,009,NM,Curry County,18.9,"50,322"
41,015,OR,Curry County,14.8,"52,586"
08,027,CO,Custer County,10.5,"63,505"
16,037,ID,Custer County,12.6,"53,846"
30,017,MT,Custer County,13.2,"54,913"
31,041,NE,Custer County,10.6,"56,531"
40,039,OK,Custer County,17.0,"51,098"
46,033,SD,Custer County,9.8,"68,600"
39,035,OH,Cuyahoga County,16.2,"55,250"
13,083,GA,Dade County,11.3,"64,054"
29,057,MO,Dade County,15.2,"43,303"
49,009,UT,Daggett County,7.2,"57,400"
27,037,MN,Dakota County,5.0,"93,850"
31,043,NE,Dakota County,10.4,"64,231"
01,045,AL,Dale County,15.7,"50,086"
48,111,TX,Dallam County,10.5,"70,895"
01,047,AL,Dallas County,29.5,"33,159"
05,039,AR,Dallas County,20.2,"42,442"
19,049,IA,Dallas County,5.3,"94,467"
29,059,MO,Dallas County,16.6,"46,189"
48,113,TX,Dallas County,14.4,"63,549"
55,025,WI,Dane County,11.3,"77,653"
30,019,MT,Daniels County,11.2,"52,852"
51,590,VA,Danville city,24.2,"37,652"
37,055,NC,Dare County,8.7,"68,682"
39,037,OH,Darke County,10.4,"59,456"
45,031,SC,Darlington County,20.9,"46,291"
42,043,PA,Dauphin County,11.8,"66,121"
37,057,NC,Davidson County,13.6,"53,473"
47,037,TN,Davidson County,15.0,"65,463"
37,059,NC,Davie County,9.7,"67,224"
18,027,IN,Daviess County,12.7,"59,888"
21,059,KY,Daviess County,13.6,"59,304"
29,061,MO,Daviess County,12.9,"56,786"
19,051,IA,Davis County,10.1,"75,730"
49,011,UT,Davis County,6.4,"93,260"
46,035,SD,Davison County,11.4,"60,924"
31,045,NE,Dawes County,15.3,"50,905"
13,085,GA,Dawson County,9.0,"76,903"
30,021,MT,Dawson County,11.2,"70,252"
31,047,NE,Dawson County,10.7,"61,817"
48,115,TX,Dawson County,21.3,"43,627"
46,037,SD,Day County,14.5,"56,687"
18,033,IN,De Kalb County,8.0,"65,059"
22,031,LA,De Soto Parish,19.6,"48,007"
17,039,IL,De Witt County,10.7,"64,325"
48,117,TX,Deaf Smith County,17.3,"50,967"
18,029,IN,Dearborn County,7.6,"73,150"
35,011,NM,DeBaca County,19.6,"40,181"
13,087,GA,Decatur County,23.8,"42,960"
18,031,IN,Decatur County,9.9,"64,871"
19,053,IA,Decatur County,16.5,"48,666"
20,039,KS,Decatur County,12.3,"49,062"
47,039,TN,Decatur County,17.7,"48,292"
30,023,MT,Deer Lodge County,14.6,"45,725"
39,039,OH,Defiance County,10.1,"66,697"
01,049,AL,DeKalb County,19.4,"45,062"
13,089,GA,DeKalb County,14.5,"70,756"
17,037,IL,DeKalb County,14.2,"67,081"
29,063,MO,DeKalb County,13.3,"54,112"
47,041,TN,DeKalb County,15.5,"45,612"
06,015,CA,Del Norte County,21.4,"48,108"
10,000,DE,Delaware,11.5,"71,636"
18,035,IN,Delaware County,18.4,"50,533"
19,055,IA,Delaware County,9.1,"69,767"
36,025,NY,Delaware County,15.9,"53,385"
39,041,OH,Delaware County,4.1,"118,661"
40,041,OK,Delaware County,18.1,"47,774"
42,045,PA,Delaware County,10.1,"78,194"
08,029,CO,Delta County,13.9,"52,403"
26,041,MI,Delta County,11.8,"53,234"
48,119,TX,Delta County,15.8,"50,329"
02,068,AK,Denali Borough,7.5,"85,251"
29,065,MO,Dent County,16.4,"45,530"
48,121,TX,Denton County,7.4,"98,027"
08,031,CO,Denver County,11.7,"81,262"
19,057,IA,Des Moines County,13.2,"53,917"
41,017,OR,Deschutes County,8.7,"79,648"
05,041,AR,Desha County,27.6,"39,042"
12,027,FL,DeSoto County,25.5,"43,256"
28,033,MS,DeSoto County,10.8,"72,890"
31,049,NE,Deuel County,11.1,"51,583"
46,039,SD,Deuel County,9.1,"63,342"
40,043,OK,Dewey County,16.4,"53,165"
46,041,SD,Dewey County,23.7,"45,120"
48,123,TX,DeWitt County,17.1,"54,279"
48,125,TX,Dickens County,20.7,"42,690"
51,051,VA,Dickenson County,22.0,"39,722"
38,021,ND,Dickey County,11.2,"55,270"
19,059,IA,Dickinson County,7.5,"67,949"
20,041,KS,Dickinson County,9.9,"60,693"
26,043,MI,Dickinson County,11.4,"56,033"
47,043,TN,Dickson County,12.1,"61,219"
02,070,AK,Dillingham Census Area,21.8,"58,389"
45,033,SC,Dillon County,26.1,"39,613"
48,127,TX,Dimmit County,25.7,"41,838"
51,053,VA,Dinwiddie County,11.9,"66,397"
11,000,DC,District of Columbia,16.8,"91,072"
11,001,DC,District of Columbia,16.8,"91,072"
38,023,ND,Divide County,10.8,"64,646"
12,029,FL,Dixie County,23.4,"39,029"
31,051,NE,Dixon County,8.0,"64,943"
54,017,WV,Doddridge County,18.1,"48,473"
13,091,GA,Dodge County,25.6,"40,856"
27,039,MN,Dodge County,6.0,"84,385"
31,053,NE,Dodge County,10.6,"59,872"
55,027,WI,Dodge County,8.5,"67,743"
08,033,CO,Dolores County,13.9,"55,157"
35,013,NM,Dona Ana County,19.3,"46,619"
20,043,KS,Doniphan County,12.7,"59,400"
48,129,TX,Donley County,16.9,"44,353"
13,093,GA,Dooly County,22.5,"43,270"
55,029,WI,Door County,8.7,"64,818"
24,019,MD,Dorchester County,15.0,"54,731"
45,035,SC,Dorchester County,9.9,"71,548"
13,095,GA,Dougherty County,26.1,"41,985"
08,035,CO,Douglas County,2.9,"129,839"
13,097,GA,Douglas County,12.8,"66,162"
17,041,IL,Douglas County,9.1,"65,447"
20,045,KS,Douglas County,15.9,"59,763"
27,041,MN,Douglas County,9.2,"67,370"
29,067,MO,Douglas County,20.5,"41,505"
31,055,NE,Douglas County,11.7,"69,475"
32,005,NV,Douglas County,8.0,"74,053"
41,019,OR,Douglas County,16.5,"52,042"
46,043,SD,Douglas County,11.4,"60,711"
53,017,WA,Douglas County,10.0,"64,932"
55,031,WI,Douglas County,14.4,"58,412"
05,043,AR,Drew County,16.5,"46,572"
18,037,IN,Dubois County,7.5,"67,615"
19,061,IA,Dubuque County,8.1,"73,968"
49,013,UT,Duchesne County,13.1,"63,327"
25,007,MA,Dukes County,7.6,"79,338"
31,057,NE,Dundy County,13.9,"52,916"
29,069,MO,Dunklin County,22.3,"42,932"
38,025,ND,Dunn County,11.0,"75,713"
55,033,WI,Dunn County,12.2,"64,065"
17,043,IL,DuPage County,6.9,"99,536"
37,061,NC,Duplin County,19.1,"45,149"
37,063,NC,Durham County,13.4,"71,436"
36,027,NY,Dutchess County,9.7,"87,370"
12,031,FL,Duval County,14.9,"60,121"
48,131,TX,Duval County,30.0,"37,921"
47,045,TN,Dyer County,16.0,"51,499"
08,037,CO,Eagle County,7.1,"94,928"
13,099,GA,Early County,26.1,"38,817"
22,033,LA,East Baton Rouge Parish,19.2,"51,746"
22,035,LA,East Carroll Parish,39.9,"30,288"
22,037,LA,East Feliciana Parish,20.1,"51,296"
48,133,TX,Eastland County,18.5,"47,526"
26,045,MI,Eaton County,8.8,"70,638"
55,035,WI,Eau Claire County,12.5,"63,073"
13,101,GA,Echols County,21.6,"42,241"
48,135,TX,Ector County,16.6,"58,389"
35,015,NM,Eddy County,13.8,"66,191"
38,027,ND,Eddy County,11.7,"57,277"
17,045,IL,Edgar County,13.0,"56,772"
37,065,NC,Edgecombe County,22.4,"41,157"
45,037,SC,Edgefield County,16.8,"57,774"
21,061,KY,Edmonson County,18.4,"47,734"
46,045,SD,Edmunds County,10.1,"67,142"
17,047,IL,Edwards County,12.0,"53,779"
20,047,KS,Edwards County,12.0,"40,896"
48,137,TX,Edwards County,20.1,"47,573"
13,103,GA,Effingham County,9.2,"76,626"
17,049,IL,Effingham County,9.3,"69,988"
06,017,CA,El Dorado County,8.8,"87,689"
08,041,CO,El Paso County,9.6,"79,094"
48,141,TX,El Paso County,20.1,"50,983"
08,039,CO,Elbert County,5.4,"114,853"
13,105,GA,Elbert County,19.2,"42,866"
20,049,KS,Elk County,16.2,"45,405"
42,047,PA,Elk County,10.1,"56,843"
18,039,IN,Elkhart County,11.3,"62,233"
32,007,NV,Elko County,9.7,"81,466"
21,063,KY,Elliott County,26.6,"34,491"
20,051,KS,Ellis County,12.5,"58,846"
40,045,OK,Ellis County,12.9,"52,503"
48,139,TX,Ellis County,8.8,"87,698"
20,053,KS,Ellsworth County,10.7,"59,368"
01,051,AL,Elmore County,12.0,"63,147"
16,039,ID,Elmore County,11.3,"51,436"
13,107,GA,Emanuel County,24.1,"45,252"
49,015,UT,Emery County,11.8,"62,257"
19,063,IA,Emmet County,11.5,"52,000"
26,047,MI,Emmet County,8.6,"71,401"
38,029,ND,Emmons County,13.4,"55,883"
51,595,VA,Emporia city,21.1,"41,610"
48,143,TX,Erath County,17.9,"51,964"
36,029,NY,Erie County,13.7,"63,014"
39,043,OH,Erie County,12.6,"59,226"
42,049,PA,Erie County,15.8,"56,799"
01,053,AL,Escambia County,23.8,"40,506"
12,033,FL,Escambia County,18.5,"54,492"
32,009,NV,Esmeralda County,14.5,"53,509"
25,009,MA,Essex County,9.6,"87,145"
34,013,NJ,Essex County,15.1,"66,191"
36,031,NY,Essex County,11.3,"62,884"
50,009,VT,Essex County,14.4,"50,840"
51,057,VA,Essex County,11.5,"59,012"
21,065,KY,Estill County,22.6,"41,843"
01,055,AL,Etowah County,17.4,"46,308"
32,011,NV,Eureka County,10.0,"80,084"
22,039,LA,Evangeline Parish,26.3,"37,707"
13,109,GA,Evans County,23.9,"41,847"
02,090,AK,Fairbanks North Star Borough,7.9,"76,754"
51,600,VA,Fairfax city,7.3,"107,334"
51,059,VA,Fairfax County,7.1,"133,845"
09,001,CT,Fairfield County,9.1,"100,703"
39,045,OH,Fairfield County,8.2,"80,245"
45,039,SC,Fairfield County,20.6,"40,766"
46,047,SD,Fall River County,13.5,"52,113"
30,025,MT,Fallon County,8.9,"63,793"
51,610,VA,Falls Church city,4.0,"142,430"
48,145,TX,Falls County,20.3,"46,173"
13,111,GA,Fannin County,13.2,"54,446"
48,147,TX,Fannin County,14.3,"56,794"
27,043,MN,Faribault County,11.4,"55,696"
46,049,SD,Faulk County,15.7,"59,970"
05,045,AR,Faulkner County,13.6,"57,573"
51,061,VA,Fauquier County,6.5,"106,714"
01,057,AL,Fayette County,19.6,"46,122"
13,113,GA,Fayette County,6.5,"92,319"
17,051,IL,Fayette County,15.3,"52,610"
18,041,IN,Fayette County,13.6,"50,642"
19,065,IA,Fayette County,11.8,"56,366"
21,067,KY,Fayette County,14.6,"61,269"
39,047,OH,Fayette County,16.3,"58,020"
42,051,PA,Fayette County,15.9,"47,812"
47,047,TN,Fayette County,12.3,"70,943"
48,149,TX,Fayette County,11.0,"64,711"
54,019,WV,Fayette County,19.9,"40,478"
47,049,TN,Fentress County,19.9,"41,469"
30,027,MT,Fergus County,12.0,"54,823"
53,019,WA,Ferry County,17.5,"50,565"
27,045,MN,Fillmore County,12.3,"67,804"
31,059,NE,Fillmore County,8.9,"65,739"
20,055,KS,Finney County,12.5,"62,157"
48,151,TX,Fisher County,15.3,"51,362"
12,035,FL,Flagler County,10.3,"65,783"
30,029,MT,Flathead County,9.5,"65,835"
21,069,KY,Fleming County,17.4,"50,025"
45,041,SC,Florence County,18.8,"52,062"
55,037,WI,Florence County,10.5,"62,243"
12,000,FL,Florida,13.2,"63,054"
13,115,GA,Floyd County,16.2,"59,685"
18,043,IN,Floyd County,9.2,"67,330"
19,067,IA,Floyd County,11.3,"59,638"
21,071,KY,Floyd County,28.0,"36,253"
48,153,TX,Floyd County,18.2,"43,855"
51,063,VA,Floyd County,12.1,"54,765"
51,065,VA,Fluvanna County,7.7,"77,226"
48,155,TX,Foard County,17.4,"42,616"
55,039,WI,Fond du Lac County,8.1,"69,428"
17,053,IL,Ford County,11.2,"57,483"
20,057,KS,Ford County,11.6,"67,105"
42,053,PA,Forest County,19.6,"46,432"
55,041,WI,Forest County,13.7,"52,275"
28,035,MS,Forrest County,20.1,"45,326"
13,117,GA,Forsyth County,5.3,"120,919"
37,067,NC,Forsyth County,14.3,"60,228"
48,157,TX,Fort Bend County,7.2,"98,070"
38,031,ND,Foster County,8.9,"69,364"
18,045,IN,Fountain County,10.6,"55,195"
51,620,VA,Franklin city,19.6,"46,460"
01,059,AL,Franklin County,18.9,"45,440"
05,047,AR,Franklin County,17.2,"47,834"
12,037,FL,Franklin County,21.0,"44,684"
13,119,GA,Franklin County,16.5,"48,045"
16,041,ID,Franklin County,8.2,"59,974"
17,055,IL,Franklin County,16.5,"49,510"
18,047,IN,Franklin County,8.6,"61,261"
19,069,IA,Franklin County,10.1,"60,269"
20,059,KS,Franklin County,10.3,"64,136"
21,073,KY,Franklin County,13.3,"60,517"
23,007,ME,Franklin County,11.7,"52,295"
25,011,MA,Franklin County,10.7,"68,948"
28,037,MS,Franklin County,22.1,"43,579"
29,071,MO,Franklin County,9.6,"68,162"
31,061,NE,Franklin County,13.0,"54,192"
36,033,NY,Franklin County,16.7,"54,960"
37,069,NC,Franklin County,12.5,"63,687"
39,049,OH,Franklin County,14.3,"66,056"
42,055,PA,Franklin County,9.5,"66,983"
47,051,TN,Franklin County,12.4,"57,723"
48,159,TX,Franklin County,14.8,"51,885"
50,011,VT,Franklin County,9.2,"69,583"
51,067,VA,Franklin County,11.2,"60,062"
53,021,WA,Franklin County,11.8,"79,532"
22,041,LA,Franklin Parish,24.0,"38,439"
24,021,MD,Frederick County,6.6,"104,253"
51,069,VA,Frederick County,7.5,"85,262"
51,630,VA,Fredericksburg city,14.2,"77,437"
27,047,MN,Freeborn County,10.2,"62,770"
48,161,TX,Freestone County,15.8,"48,397"
08,043,CO,Fremont County,15.9,"51,732"
16,043,ID,Fremont County,11.8,"58,878"
19,071,IA,Fremont County,10.5,"68,622"
56,013,WY,Fremont County,14.8,"56,316"
06,019,CA,Fresno County,19.4,"63,140"
48,163,TX,Frio County,26.7,"47,833"
31,063,NE,Frontier County,12.0,"53,735"
05,049,AR,Fulton County,18.0,"41,557"
13,121,GA,Fulton County,13.7,"82,820"
17,057,IL,Fulton County,15.2,"50,978"
18,049,IN,Fulton County,11.1,"57,400"
21,075,KY,Fulton County,23.4,"35,630"
36,035,NY,Fulton County,13.6,"56,169"
39,051,OH,Fulton County,8.1,"68,985"
42,057,PA,Fulton County,11.4,"55,100"
31,065,NE,Furnas County,11.9,"54,308"
12,039,FL,Gadsden County,25.8,"45,678"
31,067,NE,Gage County,12.0,"56,261"
48,165,TX,Gaines County,13.8,"58,712"
51,640,VA,Galax city,21.0,"42,023"
17,059,IL,Gallatin County,17.4,"48,424"
21,077,KY,Gallatin County,14.7,"57,345"
30,031,MT,Gallatin County,8.8,"78,910"
39,053,OH,Gallia County,18.0,"49,575"
48,167,TX,Galveston County,12.1,"77,627"
31,069,NE,Garden County,15.0,"53,240"
08,045,CO,Garfield County,9.2,"78,940"
30,033,MT,Garfield County,14.8,"49,898"
31,071,NE,Garfield County,11.3,"51,055"
40,047,OK,Garfield County,12.9,"59,514"
49,017,UT,Garfield County,9.9,"56,943"
53,023,WA,Garfield County,13.2,"61,268"
05,051,AR,Garland County,14.5,"48,053"
21,079,KY,Garrard County,14.4,"54,882"
24,023,MD,Garrett County,11.0,"55,107"
40,049,OK,Garvin County,15.6,"50,043"
48,169,TX,Garza County,24.8,"43,890"
29,073,MO,Gasconade County,11.3,"56,626"
37,071,NC,Gaston County,14.9,"56,017"
37,073,NC,Gates County,13.5,"59,762"
20,061,KS,Geary County,12.5,"54,104"
39,055,OH,Geauga County,6.2,"91,701"
16,045,ID,Gem County,12.4,"58,562"
26,049,MI,Genesee County,16.3,"52,157"
36,037,NY,Genesee County,9.6,"62,785"
01,061,AL,Geneva County,21.1,"43,206"
29,075,MO,Gentry County,14.1,"49,726"
28,039,MS,George County,16.4,"54,560"
45,043,SC,Georgetown County,14.7,"58,419"
13,000,GA,Georgia,14.2,"66,507"
18,051,IN,Gibson County,11.4,"60,592"
47,053,TN,Gibson County,13.4,"51,280"
04,007,AZ,Gila County,16.8,"52,665"
12,041,FL,Gilchrist County,15.3,"52,168"
47,055,TN,Giles County,12.4,"55,468"
51,071,VA,Giles County,11.8,"55,018"
48,171,TX,Gillespie County,8.8,"71,594"
41,021,OR,Gilliam County,10.4,"69,135"
13,123,GA,Gilmer County,14.0,"57,970"
54,021,WV,Gilmer County,25.3,"40,450"
08,047,CO,Gilpin County,6.9,"82,370"
30,035,MT,Glacier County,24.6,"44,777"
12,043,FL,Glades County,19.2,"46,389"
26,051,MI,Gladwin County,15.9,"49,146"
13,125,GA,Glascock County,15.3,"49,175"
48,173,TX,Glasscock County,8.5,"116,958"
06,021,CA,Glenn County,15.5,"56,741"
34,015,NJ,Gloucester County,7.7,"93,783"
51,073,VA,Gloucester County,8.4,"75,630"
13,127,GA,Glynn County,16.5,"60,685"
26,053,MI,Gogebic County,17.4,"44,675"
30,037,MT,Golden Valley County,16.6,"43,820"
38,033,ND,Golden Valley County,12.7,"63,973"
48,175,TX,Goliad County,14.7,"58,937"
48,177,TX,Gonzales County,16.1,"48,164"
51,075,VA,Goochland County,6.3,"104,379"
27,049,MN,Goodhue County,8.0,"74,974"
16,047,ID,Gooding County,10.9,"59,174"
13,129,GA,Gordon County,12.8,"56,053"
56,015,WY,Goshen County,13.0,"53,428"
31,073,NE,Gosper County,8.6,"67,263"
20,063,KS,Gove County,9.8,"58,442"
13,131,GA,Grady County,22.4,"42,171"
40,051,OK,Grady County,13.4,"61,326"
33,009,NH,Grafton County,8.6,"77,378"
04,009,AZ,Graham County,20.4,"52,644"
20,065,KS,Graham County,12.4,"49,884"
37,075,NC,Graham County,17.1,"43,647"
47,057,TN,Grainger County,16.9,"46,983"
08,049,CO,Grand County,7.2,"78,779"
49,019,UT,Grand County,11.1,"52,645"
38,035,ND,Grand Forks County,13.6,"64,804"
50,013,VT,Grand Isle County,7.7,"80,693"
26,055,MI,Grand Traverse County,8.8,"66,271"
30,039,MT,Granite County,11.7,"52,984"
05,053,AR,Grant County,11.2,"67,088"
18,053,IN,Grant County,18.8,"50,248"
20,067,KS,Grant County,11.2,"64,425"
21,081,KY,Grant County,12.7,"61,078"
27,051,MN,Grant County,10.0,"61,901"
31,075,NE,Grant County,10.0,"64,244"
35,017,NM,Grant County,18.6,"46,503"
38,037,ND,Grant County,17.3,"48,544"
40,053,OK,Grant County,14.1,"51,688"
41,023,OR,Grant County,15.6,"53,079"
46,051,SD,Grant County,9.8,"66,697"
53,025,WA,Grant County,11.7,"61,815"
54,023,WV,Grant County,15.2,"47,357"
55,043,WI,Grant County,12.6,"57,861"
22,043,LA,Grant Parish,20.6,"50,979"
37,077,NC,Granville County,14.0,"62,715"
26,057,MI,Gratiot County,15.7,"55,249"
21,083,KY,Graves County,16.2,"49,668"
20,069,KS,Gray County,7.5,"69,219"
48,179,TX,Gray County,17.7,"45,530"
53,027,WA,Grays Harbor County,13.7,"55,018"
21,085,KY,Grayson County,18.2,"45,695"
48,181,TX,Grayson County,11.2,"62,678"
51,077,VA,Grayson County,17.6,"42,553"
20,071,KS,Greeley County,9.5,"65,448"
31,077,NE,Greeley County,13.0,"53,225"
21,087,KY,Green County,19.5,"42,569"
55,045,WI,Green County,7.1,"73,386"
55,047,WI,Green Lake County,13.0,"59,732"
54,025,WV,Greenbrier County,18.9,"41,958"
01,063,AL,Greene County,33.2,"30,225"
05,055,AR,Greene County,12.9,"53,920"
13,133,GA,Greene County,14.0,"65,261"
17,061,IL,Greene County,14.1,"53,394"
18,055,IN,Greene County,14.3,"55,504"
19,073,IA,Greene County,11.3,"57,737"
28,041,MS,Greene County,21.2,"45,013"
29,077,MO,Greene County,13.2,"53,391"
36,039,NY,Greene County,11.7,"61,375"
37,079,NC,Greene County,23.3,"42,884"
39,057,OH,Greene County,10.3,"79,035"
42,059,PA,Greene County,14.8,"55,287"
47,059,TN,Greene County,12.5,"54,166"
51,079,VA,Greene County,7.8,"76,941"
04,011,AZ,Greenlee County,9.5,"71,669"
51,081,VA,Greensville County,24.4,"49,323"
21,089,KY,Greenup County,14.6,"54,292"
45,045,SC,Greenville County,10.9,"68,487"
20,073,KS,Greenwood County,15.3,"50,157"
45,047,SC,Greenwood County,15.9,"52,462"
40,055,OK,Greer County,23.0,"39,391"
48,183,TX,Gregg County,16.1,"57,608"
46,053,SD,Gregory County,14.2,"45,603"
28,043,MS,Grenada County,22.1,"39,562"
38,039,ND,Griggs County,10.7,"59,520"
48,185,TX,Grimes County,16.1,"52,540"
17,063,IL,Grundy County,6.6,"83,254"
19,075,IA,Grundy County,6.3,"71,652"
29,079,MO,Grundy County,16.7,"49,560"
47,061,TN,Grundy County,20.5,"41,266"
35,019,NM,Guadalupe County,25.8,"37,534"
48,187,TX,Guadalupe County,9.5,"80,145"
39,059,OH,Guernsey County,15.2,"50,599"
37,081,NC,Guilford County,13.5,"60,915"
12,045,FL,Gulf County,15.7,"51,684"
08,051,CO,Gunnison County,12.3,"63,872"
19,077,IA,Guthrie County,9.8,"66,112"
13,135,GA,Gwinnett County,10.8,"75,021"
46,055,SD,Haakon County,10.7,"54,380"
13,137,GA,Habersham County,13.3,"55,987"
02,100,AK,Haines Borough,10.8,"63,155"
01,065,AL,Hale County,22.1,"41,995"
48,189,TX,Hale County,19.6,"47,373"
37,083,NC,Halifax County,27.3,"38,944"
51,083,VA,Halifax County,16.0,"46,244"
13,139,GA,Hall County,12.1,"68,057"
31,079,NE,Hall County,12.0,"60,751"
48,191,TX,Hall County,24.1,"34,766"
47,063,TN,Hamblen County,18.4,"48,483"
12,047,FL,Hamilton County,25.7,"39,522"
17,065,IL,Hamilton County,13.2,"55,409"
18,057,IN,Hamilton County,3.8,"108,203"
19,079,IA,Hamilton County,8.3,"64,292"
20,075,KS,Hamilton County,11.9,"61,066"
31,081,NE,Hamilton County,6.7,"73,024"
36,041,NY,Hamilton County,9.6,"57,427"
39,061,OH,Hamilton County,15.7,"64,087"
47,065,TN,Hamilton County,12.6,"65,689"
48,193,TX,Hamilton County,14.8,"53,759"
46,057,SD,Hamlin County,7.8,"75,467"
25,013,MA,Hampden County,17.0,"61,818"
25,015,MA,Hampshire County,11.7,"77,117"
54,027,WV,Hampshire County,15.9,"52,186"
51,650,VA,Hampton city,12.4,"57,662"
45,049,SC,Hampton County,23.5,"41,281"
13,141,GA,Hancock County,30.5,"35,830"
17,067,IL,Hancock County,11.9,"56,700"
18,059,IN,Hancock County,5.5,"80,326"
19,081,IA,Hancock County,8.7,"61,544"
21,091,KY,Hancock County,12.6,"60,897"
23,009,ME,Hancock County,11.0,"57,001"
28,045,MS,Hancock County,17.3,"54,207"
39,063,OH,Hancock County,10.0,"65,866"
47,067,TN,Hancock County,27.6,"34,055"
54,029,WV,Hancock County,14.9,"52,301"
46,059,SD,Hand County,8.7,"64,118"
51,085,VA,Hanover County,6.7,"95,195"
48,195,TX,Hansford County,11.7,"57,692"
46,061,SD,Hanson County,8.2,"79,602"
13,143,GA,Haralson County,14.9,"62,472"
12,049,FL,Hardee County,21.9,"45,964"
47,069,TN,Hardeman County,20.9,"44,314"
48,197,TX,Hardeman County,17.2,"45,677"
17,069,IL,Hardin County,18.7,"47,144"
